from,to
97,98
7,15
99,23
4,5
0,35
4,5
7,60
19,20
24,20
708,5
22,23
7,15
602,58
6905,6906
16,17
7,5566
13,14
19,20
6905,6906
450,229
1384,1386
1290,122
1108,58
710,122
1289,122
52,53
103,104
596,112
121,122
129,112
1358,58
7,79
6905,6906
4,5
0,31
19,20
934,58
119,120
5002,604
7,26
24,20
6905,6906
7,38
1290,122
52,53
110,58
36,43
1358,58
7,40
16,17
103,104
0,1
19,20
0,21
6905,6906
13,14
103,104
934,58
125,126
301,126
304,126
299,300
305,126
308,126
7,44
1999,112
19,20
6905,6906
813,814
0,42
103,104
7,79
19,20
934,58
4,5
7,18
24,20
121,122
1358,1248
813,814
6905,6906
4,5
0,42
99,23
7,34
24,20
602,140
117,118
19,20
813,814
6,5
13,14
7,79
24,20
602,88
24,20
7,44
602,88
22,23
13,14
6905,6906
7,34
458,229
19,20
47,48
4,5
6905,6906
708,5
7,5566
0,31
4,5
602,88
7,26
1174,229
36,37
6,5
16,17
24,20
7,8
13,14
0,35
6905,6906
52,53
103,104
19,20
129,112
7,18
24,20
13,14
117,118
7,68
813,814
0,46
36,37
1636,229
19,20
52,53
710,122
7,60
0,84
110,58
7,68
605,300
934,58
797,58
1324,229
119,120
36,37
27,28
4,5
7,38
13,14
119,120
301,126
7,18
103,104
22,23
1290,122
121,122
52,53
1318,1010
602,140
19,20
6947,298
24,20
19,20
4,5
36,37
1289,122
119,120
4173,685
605,300
6,5
7,40
24,20
119,120
602,88
3035,122
311,312
1290,122
1384,1386
710,122
36,43
311,312
605,300
19,20
117,118
119,120
1452,336
7,26
57,58
1110,685
3322,3323
103,104
934,58
1289,122
16,17
129,112
121,122
13,14
710,122
103,104
7,15
1384,1386
6948,298
3035,122
1290,122
24,20
304,126
125,126
597,598
934,58
305,126
1449,685
121,122
302,300
7,40
915,916
311,312
3322,3323
121,122
710,122
7,26
103,104
19,20
7,15
6,5
103,104
1290,122
710,122
6949,298
1290,122
1109,685
117,118
1358,1248
710,122
0,21
684,685
6819,109
7,44
16,17
24,20
6819,109
1887,3863
13,14
24,20
7,15
7,26
19,20
0,21
311,312
24,20
605,300
3322,3323
7,18
119,120
7,68
1452,3790
19,20
7,15
24,20
6135,5413
1289,122
123,124
299,300
943,300
1357,300
302,300
0,31
301,126
7,26
304,126
305,126
125,126
6950,298
1356,300
944,300
5913,5413
6951,298
169,1138
123,124
3554,4988
308,126
3561,3562
6952,604
52,53
119,120
915,916
308,126
169,553
24,20
4,5
626,140
169,554
19,20
0,42
22,23
4,5
13,14
0,1
7,15
24,20
602,88
708,5
4455,146
119,120
7,79
169,170
4,5
1448,685
894,685
1452,58
6953,298
6954,298
27,28
169,170
710,122
169,170
129,112
7,38
710,122
605,300
119,120
27,28
597,598
710,122
169,170
27,28
3322,3323
1289,122
16,17
7,34
169,170
24,20
36,43
4,5
121,122
27,28
0,84
169,170
7,18
141,142
135,136
19,20
4,5
602,58
24,20
1210,229
0,46
52,53
1452,336
7,15
921,136
27,28
3322,3323
1452,58
169,172
7,26
1289,122
27,28
95,96
52,53
5932,5413
135,136
24,20
0,1
5932,5413
710,122
47,48
27,28
1999,112
36,37
52,53
117,118
6099,146
6955,298
36,43
13,14
4,5
0,84
52,53
135,58
1290,122
3035,122
5932,5413
7,26
1289,122
6956,298
3322,3323
1384,1386
13,14
1393,136
169,179
4,5
7,18
1318,58
24,20
19,20
3906,58
0,42
7,68
710,122
169,649
47,48
6957,298
6958,897
103,104
306,307
169,290
24,20
1290,122
0,21
7,60
135,136
4,5
605,300
19,20
169,858
16,17
1290,122
52,53
7,5566
4,5
103,104
934,58
576,136
1290,122
135,58
1393,58
6959,109
103,104
6960,298
1290,122
605,300
119,120
7,60
708,5
921,112
605,300
5932,5413
119,120
52,53
934,58
7,18
313,314
306,307
6961,298
6962,897
1393,136
135,136
119,120
6963,298
119,120
52,53
110,58
7,68
19,20
103,104
129,112
57,58
52,53
4,5
57,58
1353,229
953,954
13,14
24,20
953,954
1393,136
7,5566
19,20
105,58
36,37
1318,3251
71,360
7,26
13,14
24,20
7,38
36,43
710,122
24,20
19,20
19,20
135,136
52,53
103,104
11,6964
6965,3327
6966,298
6967,3327
1751,3327
103,104
1384,1386
6968,3327
6969,3327
110,58
6970,3327
11,6971
5228,94
7,60
708,5
16,17
1384,1386
1110,685
895,685
129,112
3035,122
4,5
7,79
13,14
19,20
1393,58
135,136
24,20
4,5
708,5
7,68
119,120
24,20
7,60
19,20
488,229
2,6972
24,20
19,20
1690,170
921,136
11,6973
11,6974
129,112
19,20
121,122
1290,122
1289,122
3035,122
52,53
119,120
103,104
710,122
7,68
4,5
7,5566
36,37
135,136
123,124
119,120
123,124
7,34
708,5
605,300
11,6975
299,300
19,20
52,53
119,120
5932,5413
4,5
121,122
103,104
7,15
6976,298
119,120
11,6977
36,37
207,208
6978,298
1109,685
16,17
1373,345
119,120
6979,298
11,6980
3041,604
7,34
36,43
895,685
1110,685
129,112
894,685
1373,112
123,124
52,53
71,273
13,14
605,300
99,23
119,120
97,98
921,112
605,300
7,68
52,53
934,138
135,136
2,6981
47,48
19,20
24,20
36,43
119,120
24,20
11,6982
52,53
4,5
5551,552
921,136
119,120
24,20
129,112
7,44
135,58
16,17
11,6983
13,14
708,5
19,20
7,34
921,136
11,6984
129,112
13,14
13,14
101,102
117,118
76,77
135,136
52,53
119,120
82,83
1356,300
7,38
11,6985
11,6986
6317,58
24,20
7,40
6987,3327
228,229
19,20
5661,5662
6988,232
6989,3327
135,58
302,300
299,300
1357,300
943,300
306,3798
934,58
19,20
1311,55
111,112
596,112
57,58
1829,58
1290,122
6990,298
299,300
16,17
915,916
5524,5525
6991,298
6992,298
6993,298
6994,897
6995,897
7,26
921,112
19,20
3328,3329
105,58
6996,897
6997,298
6998,298
1393,136
921,217
6999,88
13,14
7,79
105,58
4,5
135,136
1384,1386
117,118
7,68
11,7000
4,5
105,58
19,20
7001,298
230,229
123,124
6,5
7,18
24,20
103,104
11,7002
97,98
934,58
7,60
4,5
0,84
401,58
105,58
11,7003
24,20
7,15
135,136
1665,229
105,58
7,68
13,14
4,5
7004,298
299,300
302,300
7005,897
7006,298
904,905
401,223
105,58
119,120
5524,5525
2066,2067
1109,685
684,685
1290,122
111,112
3554,4988
915,916
103,104
3561,3562
7007,140
4,5
56,55
5052,58
119,120
11,7008
119,120
11,7009
4,5
0,21
19,20
7,40
813,814
16,17
19,20
105,58
24,20
71,614
0,21
7010,217
7,18
105,58
6,5
135,136
7,60
0,35
27,28
708,5
52,53
1289,122
103,104
3035,122
7010,3870
24,20
708,5
7007,140
7011,897
7012,298
7013,298
1357,300
7014,298
7015,298
7016,897
0,21
944,300
19,20
7017,897
7018,298
135,136
103,104
2066,2067
1356,300
915,916
6142,604
1525,3798
119,120
52,53
3322,3323
7019,298
105,58
3561,3562
4173,685
1289,122
4,5
1829,58
5524,5525
696,598
311,312
597,598
7020,298
16,17
111,112
1110,685
24,20
302,300
1448,685
121,122
13,14
1311,55
52,53
0,35
5524,5525
311,312
105,58
1311,55
7,38
921,112
708,5
7021,131
0,31
13,14
7,26
19,20
4,5
36,43
73,7022
56,55
7021,640
0,35
24,20
103,104
22,23
24,20
52,53
7,38
111,112
1108,58
7023,1207
36,37
73,7024
7,34
36,43
117,118
6,5
13,14
24,20
52,53
7,15
708,5
36,37
1886,229
103,104
24,20
934,58
7,18
0,21
7021,242
7025,58
7,44
19,20
36,43
7026,7027
5052,146
73,7028
0,35
4,5
7,40
708,5
7029,146
239,229
73,7030
19,20
16,17
4,5
24,20
73,7031
24,20
16,17
953,954
13,14
6,5
36,43
7,44
7032,211
24,20
4,5
5932,5413
73,7033
0,35
506,229
13,14
7027,88
7034,146
73,7035
36,37
7,18
6266,58
36,43
7,79
52,53
97,98
3328,3329
0,35
99,23
100,23
22,23
19,20
24,20
19,20
6,5
7036,131
36,37
24,20
7,5566
7036,131
16,17
73,7037
934,58
0,84
7038,88
13,14
36,43
152,3240
0,35
73,7039
4,5
0,42
36,37
24,20
19,20
7,5566
0,84
36,43
602,140
6,5
5932,5413
1718,58
0,35
7,15
16,17
3896,146
1395,229
24,20
36,37
0,31
52,53
0,21
3896,131
1718,170
36,43
7040,88
7,79
3896,131
13,14
4,5
19,20
105,58
119,120
1916,1917
19,20
3896,58
24,20
105,58
0,35
7,15
24,20
4,5
36,37
121,122
1541,229
105,58
1290,122
7,8
52,53
105,58
7,34
7,26
36,43
105,58
119,120
7,15
0,35
119,120
915,916
7041,211
0,42
934,58
16,17
36,37
1631,229
3035,122
13,14
1358,1248
129,112
52,53
7042,88
36,43
13,14
19,20
3896,146
7,38
7043,1752
0,31
24,20
6133,5413
36,37
249,229
6135,5413
52,53
1384,1386
135,136
52,53
19,20
7,26
36,43
24,20
921,112
7,38
13,14
135,136
5661,5662
250,229
36,37
7044,643
7,5566
7,18
13,14
5661,5662
915,916
52,53
915,916
24,20
780,58
52,53
36,43
1318,1010
7,26
19,20
7,15
135,1010
119,120
934,58
7044,643
4,5
7045,146
36,37
513,229
915,916
7,18
24,20
36,43
4,5
52,53
135,58
16,17
7,26
1384,1386
915,916
24,20
13,14
934,58
1373,345
0,35
251,229
7,5566
119,120
4,5
0,46
13,14
52,53
602,88
119,120
4,5
921,136
5883,217
7,60
915,916
47,48
27,28
117,118
129,112
7,8
915,916
7046,914
0,35
135,58
27,28
27,28
7,68
953,954
0,46
7,34
47,48
27,28
602,58
7047,2327
708,5
7048,109
4,5
7,60
119,120
19,20
13,14
27,28
602,88
24,20
135,136
7,8
24,20
0,21
22,23
953,954
24,20
0,46
27,28
13,14
19,20
7,68
7046,94
135,136
57,58
710,122
7,34
953,954
27,28
7,8
0,21
24,20
7046,58
19,20
57,58
105,58
19,20
1289,122
57,58
5883,242
24,20
7047,112
7049,298
7,26
6,5
0,1
13,14
123,124
4,5
0,35
123,124
135,58
19,20
111,112
350,3301
24,20
56,55
57,58
105,58
1289,122
7,68
57,58
7,34
24,20
19,20
7,38
0,31
24,20
24,20
311,312
207,208
16,17
4,5
7044,170
6,5
7,68
7044,170
7,38
0,35
13,14
7044,170
100,23
99,23
119,120
2066,2067
915,916
27,28
7044,170
311,312
4,5
7,44
135,58
7050,7051
350,112
19,20
7,38
24,20
0,35
953,954
24,20
57,58
7,5566
7051,88
7,68
813,814
19,20
24,20
13,14
4,5
24,20
7,18
0,21
4,5
3804,107
24,20
1311,55
57,58
105,58
13,14
111,112
708,5
105,58
7,79
19,20
52,53
105,58
1384,1386
7,44
708,5
7,60
6,5
7,38
16,17
7,5566
7,68
350,3301
7,15
7052,88
24,20
13,14
19,20
7053,1207
7,18
0,35
19,20
19,20
7,79
24,20
7,44
6,5
7052,7054
19,20
7053,776
97,98
99,23
100,23
7,15
0,31
36,43
16,17
7054,88
24,20
13,14
7,68
19,20
0,46
7,15
4,5
13,14
36,43
7,40
915,916
4,5
7,5566
279,229
0,46
24,20
19,20
7,8
19,20
36,43
7055,88
19,20
129,112
13,14
7,26
24,20
6,5
0,46
7055,7056
7,60
36,43
95,96
22,23
4,5
953,954
36,37
5661,5662
0,46
7,38
16,17
4,5
5661,5662
13,14
36,43
301,126
125,126
7,68
0,42
36,37
13,14
7056,88
7057,679
7,60
24,20
0,46
19,20
7,18
24,20
7056,7058
7,44
22,23
7059,2347
7,15
24,20
0,1
36,37
915,916
24,20
4,5
7,60
7,79
36,43
6,5
13,14
19,20
7,5566
22,23
36,37
7,26
708,5
7,40
7060,778
36,43
7,79
123,124
299,300
304,126
308,126
306,307
302,300
19,20
3554,4988
123,124
119,120
121,122
125,126
36,37
16,17
7061,88
4,5
19,20
117,118
36,43
7,8
953,954
13,14
1318,3251
24,20
0,1
7,68
135,58
813,814
0,35
19,20
953,954
0,84
7,44
6,5
352,229
7059,58
7,34
135,58
24,20
1227,1228
7,8
7059,170
7062,58
7,44
0,21
405,229
36,37
4,5
7,26
6809,58
135,136
0,31
19,20
4,5
7,8
1263,1264
7062,58
24,20
52,53
19,20
36,37
7,68
141,142
13,14
6312,109
19,20
7,34
4,5
123,124
708,5
7063,298
135,58
0,42
36,43
7,5566
6809,535
19,20
135,136
915,916
36,37
6,5
4,5
5661,1385
7064,109
894,685
7065,58
1449,685
904,905
7066,897
7067,232
7068,897
7069,298
7070,298
36,43
7062,58
0,1
24,20
7,15
24,20
13,14
19,20
0,21
135,58
7064,336
7071,88
24,20
7,68
0,31
4,5
7072,7073
915,916
119,120
52,53
7,5566
22,23
36,37
915,916
7071,88
0,35
135,136
915,916
7,34
0,46
16,17
411,229
7074,1752
19,20
6135,5413
13,14
24,20
123,124
36,43
7075,1752
52,53
7071,7076
19,20
7072,7073
13,14
71,148
915,916
0,35
313,314
605,300
19,20
7077,58
4,5
1127,229
135,58
311,312
119,120
11,7078
915,916
169,170
7,5566
11,7079
24,20
915,916
4173,685
895,685
16,17
1357,300
605,300
696,598
24,20
7072,7073
7080,298
101,102
76,77
135,58
1356,300
7,26
119,120
7081,298
7076,88
0,35
0,46
169,170
11,7082
7059,775
71,360
7076,7083
13,14
0,42
7,5566
4,5
7072,7073
36,37
169,282
11,7084
135,136
7,26
415,229
310,146
7085,211
24,20
169,172
19,20
36,43
24,20
7,15
11,7086
7083,88
19,20
7059,58
24,20
135,58
19,20
2,7087
13,14
313,314
169,383
7,34
7072,7073
921,217
16,17
0,31
684,685
135,58
119,120
7083,7088
27,28
7077,58
13,14
11,7089
7,38
0,21
3861,345
52,53
4,5
169,649
780,58
1358,1248
0,35
169,290
5932,5413
422,229
11,7090
7,26
7072,7073
135,136
47,48
169,858
311,312
119,120
5932,5413
22,23
1393,217
129,112
602,58
780,58
7,8
605,300
311,312
16,17
7,79
24,20
135,136
36,37
424,229
7,26
7072,7073
19,20
7091,640
11,7092
7,34
780,109
3906,58
3814,604
7,34
602,140
24,20
19,20
11,7093
19,20
7072,7073
36,37
1393,217
780,109
602,88
117,118
207,208
7,15
1999,112
0,42
80,81
19,20
16,17
7094,298
7,68
19,20
119,120
13,14
7095,88
915,916
311,312
117,118
36,37
13,14
71,273
99,23
100,23
97,98
19,20
135,58
7,60
7,15
129,112
7095,109
117,118
4,5
0,46
36,43
119,120
799,146
0,42
7072,7073
7,34
1999,112
11,7096
117,118
0,1
135,58
19,20
152,3240
52,53
19,20
1705,229
22,23
7,79
0,84
708,5
24,20
6,5
7072,7073
7,15
0,21
1358,1248
5932,5413
16,17
135,109
7,44
13,14
1125,58
27,28
24,20
0,1
4,5
1304,229
24,20
7,79
117,118
7,26
7072,7073
135,58
19,20
24,20
7,34
27,28
7,44
0,1
7072,7073
6,5
1999,112
27,28
22,23
7,60
95,96
0,84
708,5
7,38
0,46
13,14
27,28
605,300
13,14
27,28
101,102
780,217
13,14
135,58
7072,7073
7077,58
24,20
428,229
7,15
5883,242
19,20
6133,5413
24,20
4,5
1393,58
6135,5413
7097,1752
6133,5413
1371,1372
6135,5413
1357,300
605,300
119,120
1373,112
1110,685
1358,58
7098,1752
7099,298
5913,5413
1448,685
1358,1248
4173,685
7,44
99,23
895,685
100,23
97,98
0,1
7100,298
7101,298
7102,232
5778,3327
5524,5525
3554,4988
119,120
4750,604
1289,122
3439,307
597,598
7103,298
7104,298
7105,232
7106,298
311,312
915,916
943,300
1357,300
117,118
1373,58
6184,3798
7107,307
299,300
123,124
710,122
56,55
36,37
7108,232
7109,232
605,300
123,124
1829,58
7077,136
105,58
57,58
299,300
708,5
4173,685
105,58
311,312
605,300
7,60
895,685
1107,128
7110,6161
1393,58
0,84
56,55
24,20
36,43
797,58
7,38
22,23
135,217
602,88
780,58
7072,7073
7,40
129,112
7111,88
36,37
52,53
56,55
0,31
105,58
1356,300
1357,300
7091,58
119,120
4,5
6,5
311,312
708,5
0,84
36,43
953,954
52,53
7072,7073
24,20
105,58
105,58
7111,88
56,55
7,38
1311,55
19,20
4990,604
111,112
1999,112
105,58
127,128
311,312
7072,7073
119,120
7,18
924,925
7112,298
105,58
436,229
1311,55
915,916
52,53
95,96
16,17
7,15
135,58
105,58
19,20
119,120
24,20
36,43
4,5
0,84
105,58
105,58
7,38
7111,7113
24,20
7091,217
7,18
5211,7114
1311,55
5646,109
52,53
103,217
105,58
1289,122
7,26
708,5
105,58
22,23
7115,298
7116,897
7117,232
7118,232
7119,232
904,905
7120,897
7121,298
1357,300
708,5
7113,88
944,300
3328,3329
7122,232
7123,232
7124,897
7125,897
7126,298
7127,232
7128,298
696,598
52,53
7072,7073
1289,122
7129,298
7130,298
7131,232
7132,232
7133,232
123,124
7134,298
7135,298
7136,897
7137,897
7138,897
7139,897
3328,3329
4,5
119,120
3554,4988
597,598
1356,300
1525,3798
7140,298
7141,897
7142,897
7143,232
7144,3327
7145,298
1229,128
710,122
3438,3798
3561,3562
1311,55
7146,604
3439,307
6184,307
7147,232
7148,232
7149,298
7150,298
7151,232
7152,897
5524,5525
3322,3323
117,118
7107,307
3328,3329
7153,232
7154,298
7155,298
7156,897
7157,298
605,300
1289,122
1525,307
16,17
7158,307
7159,307
7160,298
7161,298
7162,232
7163,298
7164,897
7165,298
7166,897
7167,897
302,300
1366,604
3561,3562
105,58
117,118
7168,897
7169,298
7170,3327
7171,897
5983,7172
5524,5525
904,905
3438,307
696,598
710,122
7173,298
7174,232
7175,897
7176,232
7177,298
7178,298
7179,298
7180,298
1357,300
915,916
1277,604
3439,3798
6184,307
7107,307
7181,232
7182,232
7183,298
7184,298
3245,6085
127,128
1107,128
1229,128
1106,128
5932,5413
596,112
52,53
7185,298
1107,128
1448,685
3243,58
1356,300
7186,298
1393,136
135,136
1449,685
7187,298
7188,897
7189,298
5983,7172
127,128
605,300
1229,128
1106,128
105,58
894,685
1358,1248
311,312
0,21
7190,298
7191,897
99,23
36,43
5006,604
710,122
117,118
6298,604
119,120
895,685
1108,58
24,20
105,58
3322,3323
1999,112
5524,5525
1107,128
1106,128
1110,685
302,300
1108,58
4173,685
111,112
2331,146
1449,685
915,916
52,53
5932,5413
684,685
105,58
1109,685
1358,1248
105,58
105,58
5433,7192
105,58
1290,122
438,229
52,53
19,20
7,79
7072,7073
1289,122
0,46
135,58
121,122
4,5
111,112
24,20
7113,88
36,37
0,31
4,5
24,20
5932,5413
57,58
1108,58
57,58
1109,685
1449,685
7193,232
7194,298
7195,897
904,905
7,38
1357,300
1107,128
127,128
110,58
306,307
16,17
56,55
1356,300
57,58
52,53
596,112
7196,298
5433,7192
7072,7073
1318,58
0,84
135,58
4,5
4444,643
7,15
0,46
7,68
19,20
36,37
0,31
22,23
57,58
7072,7073
7,34
36,43
16,17
19,20
7,44
24,20
7,5566
0,21
4,5
19,20
780,58
7072,7073
7,60
36,43
24,20
7,79
97,98
99,23
100,23
7197,88
0,84
7,34
36,43
7197,88
7072,7073
16,17
0,1
56,55
7,79
5051,2448
19,20
7197,7198
915,916
7,8
127,128
24,20
6,5
596,112
7,18
4,5
19,20
105,58
19,20
24,20
57,58
36,43
105,58
111,112
7,79
57,58
127,128
4,5
7072,7073
2751,4829
915,916
0,35
7,5566
105,58
4,5
16,17
52,53
0,42
7,26
5397,109
7198,88
2751,3251
7199,914
36,43
2751,3252
0,1
7,44
0,46
7198,7200
76,77
101,102
7072,7073
448,229
7,5566
1393,136
135,136
47,48
7,26
105,58
111,112
7,38
7072,7073
36,43
0,1
24,20
105,58
47,48
7201,58
19,20
19,20
24,20
105,58
0,21
7,5566
19,20
47,48
16,17
1265,58
105,58
5433,7192
19,20
7,26
7202,6790
780,58
105,58
7072,7073
6,5
71,147
24,20
7200,88
7,15
7072,7073
7203,146
36,37
4,5
7204,541
135,7205
7,26
7206,535
4,5
119,120
915,916
1289,122
3464,604
105,58
3322,3323
7,34
52,53
311,312
5433,3808
57,58
7,15
708,5
57,58
105,58
56,55
1311,55
710,122
1290,122
7072,7073
105,58
52,53
105,58
452,229
57,58
3744,642
16,17
3744,642
7,40
36,37
0,84
24,20
19,20
7,44
7,79
0,35
19,20
456,229
7072,7073
7207,58
36,37
0,42
7,18
24,20
129,112
4,5
7,38
7,34
7202,136
458,229
4,5
7072,7073
7,40
36,37
7208,131
13,14
57,58
7,44
6,5
111,112
7,79
7072,7073
0,31
105,58
1174,229
57,58
0,21
596,112
105,58
7,18
36,37
19,20
19,20
57,58
7,38
119,120
4,5
24,20
19,20
0,31
7072,7073
16,17
13,14
1636,229
19,20
4,5
0,21
135,58
7,18
36,37
7072,7073
7,44
7208,58
129,112
0,31
101,102
7209,88
1324,229
0,21
36,37
3861,112
7209,88
2613,278
0,46
57,58
6580,1207
6,5
111,112
123,124
1107,128
4,5
105,58
1999,112
7210,298
16,17
13,14
301,126
305,126
304,126
125,126
301,126
105,58
125,126
0,21
7208,114
19,20
7,68
24,20
915,916
1357,300
7072,7073
1356,300
135,58
7208,58
19,20
7,34
3245,6085
24,20
36,43
7,5566
24,20
19,20
6580,58
308,126
19,20
4,5
1107,128
119,120
0,35
7211,298
7212,298
111,112
7213,640
311,312
596,112
117,118
0,42
16,17
36,43
117,118
7,44
13,14
105,58
7072,7073
7,5566
117,118
52,53
7,18
7208,131
0,84
36,37
0,46
135,136
19,20
602,140
780,58
7,15
7072,7073
6,5
7,5566
4,5
22,23
596,112
7213,1194
105,58
52,53
1289,122
135,136
7,68
156,107
7214,146
19,20
36,37
7072,7073
4,5
7,60
708,5
13,14
57,58
780,136
7,79
813,814
7214,146
4217,4218
135,58
24,20
7,40
7,18
7072,7073
4217,4218
1509,1526
0,46
36,43
1229,128
7215,7216
22,23
7217,88
127,128
1107,128
52,53
7,5566
2751,58
4,5
915,916
301,126
308,126
7218,298
7219,897
7220,298
7221,298
7222,232
7223,298
7224,232
1311,55
3328,3329
7225,307
895,685
894,685
915,916
308,126
125,126
301,126
308,126
125,126
301,126
308,126
304,126
125,126
301,126
308,126
304,126
305,126
125,126
301,126
7226,298
7227,298
7228,232
7229,232
7230,298
7231,298
7232,298
943,300
605,300
7233,897
299,300
7234,897
7235,897
7236,897
7237,897
57,58
1373,58
4173,685
710,122
7238,3798
3554,4988
7239,307
7240,307
308,126
304,126
305,126
125,126
301,126
308,126
304,126
305,126
301,126
305,126
7241,298
5983,5984
3245,6085
127,128
121,122
1107,128
36,37
696,598
13,14
1110,685
3243,58
7242,232
7243,232
7244,298
7245,897
7246,232
7247,3327
7248,298
3035,122
117,118
3328,3329
302,300
6142,604
7249,307
1357,300
7250,298
7251,232
7252,897
7253,897
7254,298
7255,897
111,112
7256,3798
16,17
7072,7073
57,58
1290,122
944,300
7257,307
7258,897
7259,298
7260,298
7261,298
7262,298
7263,232
7264,298
5524,5525
7225,3798
57,58
302,300
304,126
301,126
308,126
305,126
125,126
304,126
301,126
308,126
305,126
125,126
304,126
301,126
308,126
305,126
125,126
304,126
301,126
308,126
305,126
7265,298
7266,897
7267,232
7217,7268
7269,232
7270,298
7238,307
111,112
52,53
7239,307
1106,128
1229,128
1107,128
127,128
7240,3798
121,122
5952,604
304,126
301,126
597,598
308,126
305,126
125,126
304,126
301,126
308,126
305,126
125,126
304,126
301,126
308,126
305,126
125,126
304,126
301,126
308,126
305,126
125,126
308,126
125,126
7271,298
904,905
780,58
943,300
7272,897
3561,6161
13,14
1448,685
1449,685
597,598
895,685
7273,298
1356,300
1311,55
3245,6085
110,58
119,120
1393,136
708,5
2915,146
121,122
117,118
311,312
7274,109
52,53
603,604
119,120
3035,122
129,112
1311,55
1333,229
117,118
7,68
3949,146
0,21
24,20
6,5
7275,298
52,53
135,58
780,58
19,20
4,5
117,118
119,120
1393,136
7,44
3906,1010
117,118
19,20
36,43
24,20
1265,58
4,5
7,40
99,23
7072,7073
7276,146
24,20
7277,897
7278,298
7279,298
1356,300
3328,3329
1289,122
3438,307
52,53
105,58
1384,1386
7,68
302,300
3439,307
7280,232
7281,3327
7282,232
7283,298
7284,232
7285,298
7286,298
1107,128
56,55
7287,58
904,905
3554,4988
119,120
5524,5525
3561,3562
915,916
605,300
299,300
311,312
708,5
7288,232
7289,298
1448,685
596,112
895,685
956,6161
3814,604
117,118
57,58
4173,685
7290,298
7291,897
1449,685
6184,3798
1290,122
57,58
3243,58
4750,604
5524,5525
52,53
3243,58
105,58
105,58
13,14
111,112
3554,4988
311,312
129,112
7,26
7292,298
7293,298
1108,58
1509,146
5983,5984
1106,128
3035,122
105,58
1229,128
894,685
1290,122
0,35
1393,58
121,122
117,118
6,5
7294,897
7295,897
7296,298
52,53
7,34
121,122
1289,122
56,55
4173,685
1311,55
24,20
105,58
7072,7073
7268,88
708,5
7,68
1999,112
1449,685
915,916
0,46
119,120
7268,88
602,140
52,53
57,58
105,58
47,48
1509,94
19,20
4,5
24,20
105,58
13,14
19,20
7268,7297
7072,7073
474,229
0,46
4,5
708,5
1509,166
6,5
24,20
36,37
19,20
4217,4218
13,14
1311,55
19,20
56,55
24,20
7,44
7298,1319
4217,4218
7299,201
27,28
0,42
7,38
7297,88
57,58
27,28
1110,685
1449,685
57,58
7,60
135,58
129,112
57,58
27,28
0,35
52,53
7300,232
7301,232
7302,232
7303,3327
299,300
943,300
3328,3329
944,300
306,3798
7304,336
7305,232
7306,298
7307,897
7308,298
7309,232
7310,897
36,43
302,300
904,905
7311,298
7312,897
7313,298
7314,897
7315,897
7316,298
7317,232
696,598
1357,300
3328,3329
7,34
7318,298
6967,3327
7319,298
52,53
105,58
2751,211
1525,3798
4990,604
915,916
1289,122
1356,300
3322,3323
119,120
3438,307
7320,298
7321,232
7322,232
7323,897
943,300
696,598
7324,897
7325,232
7326,298
52,53
7257,307
7327,897
7328,298
3561,3562
1289,122
302,300
13,14
1108,58
311,312
1357,300
117,118
478,229
1109,685
596,112
1107,128
0,21
119,120
7329,298
27,28
1311,55
105,58
0,84
3561,3562
7330,58
1393,136
1107,128
4173,685
19,20
105,58
915,916
1109,685
135,7205
7,68
311,312
119,120
921,112
57,58
686,685
1449,685
36,37
596,112
105,58
27,28
299,300
7,15
105,58
4173,685
24,20
1109,685
915,916
7331,298
52,53
311,312
117,118
3035,122
780,136
19,20
119,120
302,300
105,58
24,20
0,42
7,44
299,300
480,229
7332,298
52,53
302,300
1393,136
0,21
111,112
1449,685
1289,122
1229,128
135,136
921,112
24,20
105,58
686,685
894,685
596,112
7,38
119,120
895,685
7333,298
105,58
1290,122
19,20
1448,685
311,312
302,300
3322,3323
1290,122
1243,5710
0,46
780,136
119,120
7334,298
299,300
302,300
7335,298
7336,298
27,28
135,136
915,916
16,17
119,120
13,14
7,15
36,43
1734,1820
119,120
105,58
57,58
7337,298
13,14
135,58
0,31
4,5
1734,4414
105,58
7,26
36,37
105,58
710,122
52,53
596,112
105,58
111,112
105,58
708,5
7,34
780,58
24,20
105,58
1359,229
19,20
0,31
1384,1386
4217,4218
7,26
52,53
129,112
105,58
1311,55
36,37
4217,4218
16,17
24,20
13,14
135,7205
24,20
52,53
105,58
13,14
4,5
0,31
7,68
6860,136
19,20
111,112
127,128
57,58
105,58
1290,122
596,112
119,120
52,53
24,20
105,58
710,122
7338,107
1290,122
4,5
1358,1248
36,37
119,120
6,5
924,925
488,229
105,58
0,21
894,685
97,98
119,120
52,53
1265,7205
100,23
302,300
99,23
311,312
105,58
7,68
7339,232
7340,3327
4045,146
299,300
302,300
306,3798
3328,3329
943,300
7341,897
7342,232
7343,298
7344,232
605,300
710,122
3328,3329
7345,897
7346,897
7347,298
708,5
1358,1248
944,300
3328,3329
52,53
311,312
696,598
7348,298
7349,298
7350,298
7351,232
1277,604
3328,3329
119,120
3554,4988
3322,3323
121,122
7352,298
7353,232
7354,897
6298,604
5904,604
5524,5525
7355,298
7356,298
127,128
1106,128
19,20
1229,128
306,3798
299,300
1448,685
1449,685
105,58
956,6161
7110,6161
710,122
4173,685
105,58
7357,897
7358,298
7359,232
7360,232
7361,897
7362,298
943,300
